Updated 01/25/26 at 12:08am,Position Rank,Position,Team,Value,Age,Rookie,SFPosition Rank,SFValue,RdrftPosition Rank,RdrftValue
Bijan Robinson,RB1,RB,ATL,9999,24.0,No,RB1,9998,,0
Puka Nacua,WR1,WR,LAR,9996,24.6,No,WR2,9681,,0
Jaxon Smith-Njigba,WR2,WR,SEA,9985,23.9,No,WR1,9869,,0
Ja'Marr Chase,WR3,WR,CIN,9984,25.9,No,WR3,9653,,0
Jahmyr Gibbs,RB2,RB,DET,9831,23.8,No,RB2,9416,,0
Malik Nabers,WR4,WR,NYG,8065,22.5,No,WR4,7782,,0
Trey McBride,TE1,TE,ARI,8030,26.2,No,TE1,7753,,0
Brock Bowers,TE2,TE,LVR,7939,23.1,No,TE2,7592,,0
Amon-Ra St. Brown,WR5,WR,DET,7933,26.2,No,WR5,7604,,0
De'Von Achane,RB3,RB,MIA,7904,24.3,No,RB3,7310,,0
CeeDee Lamb,WR6,WR,DAL,7820,26.8,No,WR6,7423,,0
Justin Jefferson,WR7,WR,MIN,7742,26.6,No,WR7,7334,,0
Josh Allen,QB1,QB,BUF,7694,29.7,No,QB2,9990,,0
Drake London,WR8,WR,ATL,7609,24.5,No,WR8,7069,,0
Ashton Jeanty,RB4,RB,LVR,7596,22.1,Yes,RB4,6999,,0
Omarion Hampton,RB5,RB,LAC,7233,22.9,Yes,RB5,6555,,0
Jonathan Taylor,RB6,RB,IND,7197,27.0,No,RB7,6411,,0
Tetairoa McMillan,WR9,WR,CAR,7103,22.8,Yes,WR9,6538,,0
TreVeyon Henderson,RB7,RB,NEP,7081,23.2,Yes,RB6,6415,,0
James Cook,RB8,RB,BUF,6913,26.3,No,RB8,6197,,0
2027 Early 1st,,PI,,6903,,,,6537.99,,0
George Pickens,WR10,WR,DAL,6899,24.9,No,WR10,6096,,0
Drake Maye,QB2,QB,NEP,6841,23.4,No,QB1,9997.99,,0
Emeka Egbuka,WR11,WR,TBB,6787,23.3,Yes,WR13,5901,,0
Nico Collins,WR12,WR,HOU,6768,26.8,No,WR11,6051,,0
Rashee Rice,WR13,WR,KCC,6765,25.8,No,WR12,5979,,0
2026 Early 1st,,PI,,6533,,,,6036,,0
Garrett Wilson,WR14,WR,NYJ,6513,25.5,No,WR14,5737,,0
Lamar Jackson,QB3,QB,BAL,6474,29.0,No,QB4,7438,,0
Tyler Warren,TE3,TE,IND,6438,23.7,Yes,TE3,5710,,0
Chris Olave,WR15,WR,NOS,6414,25.6,No,WR15,5676,,0
Bucky Irving,RB9,RB,TBB,6383,23.4,No,RB10,5515,,0
Quinshon Judkins,RB10,RB,CLE,6373,22.2,Yes,RB9,5599,,0
Christian McCaffrey,RB11,RB,SFO,6285,29.6,No,RB11,5488,,0
Jayden Daniels,QB4,QB,WAS,6148,25.1,No,QB3,7599,,0
Breece Hall,RB12,RB,NYJ,6145,24.6,No,RB12,5270,,0
Ladd McConkey,WR16,WR,LAC,6093,24.2,No,WR17,5179,,0
Rome Odunze,WR17,WR,CHI,6032,23.6,No,WR16,5235,,0
Colston Loveland,TE4,TE,CHI,5907,21.8,Yes,TE4,5347,,0
Marvin Harrison Jr.,WR18,WR,ARI,5870,23.4,No,WR18,5148,,0
2027 Mid 1st,,PI,,5790,,,,5246,,0
Tee Higgins,WR19,WR,CIN,5693,27.0,No,WR21,4871,,0
Brian Thomas Jr.,WR20,WR,JAC,5691,23.3,No,WR19,4978,,0
Chase Brown,RB13,RB,CIN,5686,25.8,No,RB13,4850,,0
Kyren Williams,RB14,RB,LAR,5652,25.4,No,RB14,4846,,0
2026 Mid 1st,,PI,,5620,,,,4809,,0
Luther Burden,WR21,WR,CHI,5618,22.1,Yes,WR20,4899,,0
Saquon Barkley,RB15,RB,PHI,5617,29.0,No,RB15,4815,,0
Joe Burrow,QB5,QB,CIN,5609,29.1,No,QB6,7243,,0
2028 Early 1st,,PI,,5576,,,,4863,,0
Cam Skattebo,RB16,RB,NYG,5564,24.0,Yes,RB16,4796,,0
Patrick Mahomes,QB6,QB,KCC,5556,30.4,No,QB8,6544,,0
Jalen Hurts,QB7,QB,PHI,5546,27.5,No,QB10,6413,,0
Tucker Kraft,TE5,TE,GBP,5545.99,25.2,No,TE5,4891,,0
Jameson Williams,WR22,WR,DET,5537,24.8,No,WR22,4792,,0
Harold Fannin,TE6,TE,CLE,5525,21.5,Yes,TE6,4833,,0
RJ Harvey,RB17,RB,DEN,5506,25.0,Yes,RB17,4795,,0
DeVonta Smith,WR23,WR,PHI,5435,27.2,No,WR25,4627,,0
Jaxson Dart,QB8,QB,NYG,5420,22.7,Yes,QB9,6525,,0
A.J. Brown,WR24,WR,PHI,5412,28.6,No,WR23,4692,,0
2027 Late 1st,,PI,,5407,,,,4680,,0
Justin Herbert,QB9,QB,LAC,5378,27.9,No,QB7,6868,,0
Caleb Williams,QB10,QB,CHI,5365,24.2,No,QB5,7382,,0
Jaylen Waddle,WR25,WR,MIA,5364,27.2,No,WR27,4534,,0
Zay Flowers,WR26,WR,BAL,5352,25.4,No,WR26,4556,,0
Josh Jacobs,RB18,RB,GBP,5324,28.0,No,RB18,4538,,0
Travis Hunter,WR27,WR,JAC,5302,22.7,Yes,WR24,4671,,0
Kenneth Walker III,RB19,RB,SEA,5242,25.3,No,RB20,4343,,0
Travis Etienne,RB20,RB,JAC,5207,27.0,No,RB19,4412,,0
Sam LaPorta,TE7,TE,DET,5204,25.0,No,TE7,4521,,0
Javonte Williams,RB21,RB,DAL,5164,25.8,No,RB21,4187,,0
2026 Late 1st,,PI,,5154,,,,4314,,0
2028 Mid 1st,,PI,,5130,,,,4508,,0
Bo Nix,QB11,QB,DEN,5029,25.9,No,QB11,6255,,0
Jordan Addison,WR28,WR,MIN,4910,24.0,No,WR28,3960,,0
Kyle Pitts,TE8,TE,ATL,4906,25.3,No,TE8,4231,,0
2028 Late 1st,,PI,,4827,,,,4032,,0
Kyle Monangai,RB22,RB,CHI,4811,23.6,Yes,RB22,3898,,0
Oronde Gadsden,TE9,TE,LAC,4745,22.6,Yes,TE9,3959,,0
Ricky Pearsall,WR29,WR,SFO,4717,25.4,No,WR30,3799,,0
Jayden Higgins,WR30,WR,HOU,4676,23.1,Yes,WR31,3766,,0
DK Metcalf,WR31,WR,PIT,4658,28.1,No,WR32,3760,,0
Jordan Love,QB12,QB,GBP,4637,27.2,No,QB14,5679,,0
George Kittle,TE10,TE,SFO,4617,32.3,No,TE10,3716,,0
Derrick Henry,RB23,RB,BAL,4576,32.0,No,RB23,3788,,0
Zach Charbonnet,RB24,RB,SEA,4551,25.0,No,RB24,3771,,0
2026 Early 2nd,,PI,,4516,,,,3601,,0
D'Andre Swift,RB25,RB,CHI,4513,27.0,No,RB25,3629,,0
Michael Pittman,WR32,WR,IND,4508,28.3,No,WR36,3555,,0
Baker Mayfield,QB13,QB,TBB,4501,30.8,No,QB18,4742,,0
2027 Early 2nd,,PI,,4465,,,,3790,,0
Christian Watson,WR33,WR,GBP,4463,26.7,No,WR33,3689,,0
Michael Wilson,WR34,WR,ARI,4460,25.9,No,WR29,3815,,0
Davante Adams,WR35,WR,LAR,4436,33.1,No,WR37,3537,,0
Xavier Worthy,WR36,WR,KCC,4435,22.7,No,WR38,3512,,0
Wan'Dale Robinson,WR37,WR,NYG,4421,25.0,No,WR35,3576,,0
Brock Purdy,QB14,QB,SFO,4414,26.1,No,QB13,6122,,0
Dak Prescott,QB15,QB,DAL,4396,32.5,No,QB16,5058,,0
Woody Marks,RB26,RB,HOU,4387,25.1,Yes,RB26,3475,,0
Alec Pierce,WR38,WR,IND,4379,25.7,No,WR34,3606,,0
Matthew Golden,WR39,WR,GBP,4285,22.5,Yes,WR39,3468,,0
Quentin Johnston,WR40,WR,LAC,4268,24.4,No,WR40,3438,,0
Jaylen Warren,RB27,RB,PIT,4248,27.2,No,RB28,3314,,0
Jake Ferguson,TE11,TE,DAL,4192,27.0,No,TE11,3404,,0
C.J. Stroud,QB16,QB,HOU,4179,24.3,No,QB15,5349,,0
Jakobi Meyers,WR41,WR,JAC,4176,29.2,No,WR41,3411,,0
Blake Corum,RB28,RB,LAR,4163,25.2,No,RB27,3350,,0
Trey Benson,RB29,RB,ARI,4159,23.5,No,RB29,3268,,0
Bhayshul Tuten,RB30,RB,JAC,4158,22.9,Yes,RB30,3225,,0
Rico Dowdle,RB31,RB,CAR,4110,27.6,No,RB31,3183,,0
Dalton Kincaid,TE12,TE,BUF,4095,26.3,No,TE12,3309,,0
Courtland Sutton,WR42,WR,DEN,4070,30.3,No,WR42,3283,,0
Trevor Lawrence,QB17,QB,JAC,4066,26.3,No,QB12,6200,,0
2027 Mid 2nd,,PI,,3958,,,,3302,,0
D.J. Moore,WR43,WR,CHI,3957,28.8,No,WR45,3197,,0
Jayden Reed,WR44,WR,GBP,3932,25.7,No,WR44,3201,,0
2026 Mid 2nd,,PI,,3931.99,,,,3191,,0
Troy Franklin,WR45,WR,DEN,3930,23.0,No,WR46,3172,,0
Cam Ward,QB18,QB,TEN,3881,23.7,Yes,QB17,4906,,0
Terry McLaurin,WR46,WR,WAS,3876,30.4,No,WR48,3099,,0
Parker Washington,WR47,WR,JAC,3869,23.8,No,WR43,3242,,0
Brenton Strange,TE13,TE,JAC,3864,25.1,No,TE13,3230,,0
2028 Early 2nd,,PI,,3849,,,,3024,,0
Josh Downs,WR48,WR,IND,3820,24.4,No,WR47,3135,,0
Jared Goff,QB19,QB,DET,3808,31.3,No,QB20,4506,,0
Tyler Allgeier,RB32,RB,ATL,3803,25.8,No,RB32,3027,,0
Khalil Shakir,WR49,WR,BUF,3793,26.0,No,WR49,2999,,0
Sam Darnold,QB20,QB,SEA,3765,28.6,No,QB19,4662,,0
Kayshon Boutte,WR50,WR,NEP,3690,23.7,No,WR54,2893,,0
